province_id,province,year,gdp,ln_gdp,gdp_idx,gdp_per_cap,sec_ind_share,urban_rate,pop_thous,pop65_thous,aging_rate,emp_total_10k,emp_urban_unit_10k,emp_private_10k,pub_emp_share,fai_bn,ln_fai_bn,fai_growth_pct,trade_bn_cny,ln_trade_bn_cny,trade_openness,tax_rev_bn,ln_tax_rev_bn,macro_tax_burden,patent_apps,ln_patent_apps,pub_tech_staff,ln_pub_tech_staff
1,北京,2005,,,111.8,,29.5,83.62,,,,920.35,,379.2,,2827.23,7.947053,,10281.1098413001,9.238063,,919.21,6.823515,,12102.0,9.401126,339209.0,12.734372
1,北京,2006,8618.9,9.061713,112.8,60297.33,27.8,84.33,14294.0,1605.0,11.2285,919.7,,426.43,,3296.38,8.10058,,12598.3638869886,9.441322,146.1714,1117.15,7.018536,12.9616,14226.0,9.562827,338690.0,12.732841
1,北京,2007,10730.4,9.280836,113.3,73728.18,26.8,84.5,14554.0,1484.0,10.1965,1111.42,,398.26,,3907.2,8.270576,,14675.701826440001,9.593948,136.7675,1435.67,7.269387,13.3795,18763.0,9.839642,340120.0,12.737054
1,北京,2008,12167.6,9.406532,109.0,82141.36,25.7,84.9,14813.0,1524.0,10.2883,1173.8,570.3,441.52,48.5858,3814.73,8.246625,,18869.343528449,9.845294,155.0786,1775.58,7.481882,14.5927,28394.0,10.253933,348675.0,12.761896
1,北京,2009,13335.7,9.4982,110.2,88339.3,23.5,85.0,15096.0,1524.0,10.0954,1255.08,619.3,478.4,49.3435,4616.92,8.437483,,14668.414850430003,9.593452,109.9936,1913.97,7.556935,14.3522,29326.0,10.28623,352533.0,12.7729
1,北京,2010,15420.2,9.643434,110.3,,24.0,85.96,,,,1317.66,646.6,525.98,49.0718,5402.95,8.5947,,20425.04019186,9.924517,132.4564,2251.59,7.719392,14.6016,33466.0,10.418285,341509.0,12.741129
1,北京,2011,17653.3,9.778678,108.1,102361.71,23.1,86.2,17246.0,1521.0,8.8194,,685.9,558.81,,5578.93,8.626752,,25160.641442476,10.133036,142.5266,2854.63,7.956698,16.1705,45057.0,10.715684,364568.0,12.806468
1,北京,2012,19568.3,9.881666,107.7,113334.3,22.7,86.29,17266.0,1485.0,8.6007,,717.4,592.33,,6112.37,8.71807,,25761.774511875,10.156647,131.6505,3124.75,8.04711,15.9684,52720.0,10.87275,375600.0,12.83628
1,北京,2013,21746.0,9.987185,107.7,124590.35,22.3,86.39,17454.0,1498.0,8.5826,,742.3,640.28,,6847.06,8.831575,,26568.568628784,10.187484,122.1768,3514.52,8.164658,16.1617,67554.0,11.120683,388073.0,12.868949
1,北京,2014,23577.5,10.068048,107.3,132778.62,21.3,86.5,17757.0,1518.0,8.5487,,755.9,828.6,,6924.2,8.842778,,25524.47594652,10.147393,108.2578,3861.29,8.258757,16.377,78129.0,11.266117,406864.0,12.916234
1,北京,2015,26034.1,10.167162,,,19.74,86.71,,,,,777.3,951.73,,7495.99,8.922123,,,,,4263.91,8.357942,16.3782,88930.0,11.395605,407724.0,12.918346
