province_id,province,year,gdp,ln_gdp,gdp_idx,gdp_per_cap,sec_ind_share,urban_rate,pop,pop65,aging_rate,emp_total_10k,emp_urban_unit_10k,private_emp_10k,pub_emp_share,fai_bn,ln_fai_bn,fai_growth_pct,trade_bn_cny,ln_trade_bn_cny,trade_openness,tax_rev_bn,ln_tax_rev_bn,macro_tax_burden,patent_apps,ln_patent_apps,pub_tech_staff,ln_pub_tech_staff,pop_data_source,gov_exp_bn,gdp_bn,broad_tax_burden
1,北京,2005,,,111.8,,29.5,83.62,203582.0,22014.0,10.8133,920.35,,379.2,,2827.23,7.947053,,10281.11,9.238064,,919.21,6.823515,,12102.0,9.401126,339209.0,12.734372,survey_1pct,1058.31,,
1,北京,2006,8618.9,9.061713,112.8,60297327.55,27.8,84.33,14294.0,1605.0,11.2285,919.7,,426.43,,3296.38,8.10058,,12598.36,9.441322,146.1713,1117.15,7.018536,12.9616,14226.0,9.562827,338690.0,12.732841,survey_1permil,1296.84,8618.902195181987,15.046463814439623
1,北京,2007,10730.4,9.280836,113.3,73728184.69,26.8,84.5,14554.0,1484.0,10.1965,1111.42,,398.26,,3907.2,8.270576,,14675.7,9.593948,136.7675,1435.67,7.269387,13.3795,18763.0,9.839642,340120.0,12.737054,survey_1permil,1649.5,10730.398781156684,15.372215270290187
1,北京,2008,12167.6,9.406532,109.0,82141362.32,25.7,84.9,14813.0,1524.0,10.2883,1173.8,570.3,441.52,48.5858,3814.73,8.246625,,18869.34,9.845294,155.0786,1775.58,7.481882,14.5927,28394.0,10.253933,348675.0,12.761896,survey_1permil,1959.29,12167.600483187576,16.10251752354315
1,北京,2009,13335.7,9.4982,110.2,88339295.18,23.5,85.0,15096.0,1524.0,10.0954,1255.08,619.3,478.4,49.3435,4616.92,8.437483,,14668.41,9.593451,109.9936,1913.97,7.556935,14.3522,29326.0,10.28623,352533.0,12.7729,survey_1permil,2319.37,13335.70095114614,17.392186646181962
1,北京,2010,15420.2,9.643434,110.3,78624.88,24.0,85.96,19612368.0,1712160.0,8.73,1317.66,646.6,525.98,49.0718,5402.95,8.5947,,20425.04,9.924517,132.4564,2251.59,7.719392,14.6016,33466.0,10.418285,341509.0,12.741129,census,2717.32,15420.2059028256,17.621813983055038
1,北京,2011,17653.3,9.778678,108.1,102361707.06,23.1,86.2,17246.0,1521.0,8.8194,,685.9,558.81,,5578.93,8.626752,,25160.64,10.133036,142.5266,2854.63,7.956698,16.1705,45057.0,10.715684,364568.0,12.806468,survey_1permil,3245.23,17653.29975773537,18.383135416810653
1,北京,2012,19568.3,9.881666,107.7,113334298.62,22.7,86.29,17266.0,1485.0,8.6007,,717.4,592.33,,6112.37,8.71807,,25761.77,10.156647,131.6505,3124.75,8.04711,15.9684,52720.0,10.87275,375600.0,12.83628,survey_1permil,3685.31,19568.296302328665,18.833065194139774
1,北京,2013,21746.0,9.987185,107.7,124590351.78,22.3,86.39,17454.0,1498.0,8.5826,,742.3,640.28,,6847.06,8.831575,,26568.57,10.187484,122.1768,3514.52,8.164658,16.1617,67554.0,11.120683,388073.0,12.868949,survey_1permil,4173.66,21745.99757406651,19.19277322543876
1,北京,2014,23577.5,10.068048,107.3,132778622.52,21.3,86.5,17757.0,1518.0,8.5487,,755.9,828.6,,6924.2,8.842778,,25524.48,10.147393,108.2578,3861.29,8.258757,16.377,78129.0,11.266117,406864.0,12.916234,survey_1permil,4524.67,23577.496547828898,19.190629466624387
1,北京,2015,26034.1,10.167162,,7753436.08,19.74,86.71,335775.0,35775.0,10.6545,,777.3,951.73,,7495.99,8.922123,,,,,4263.91,8.357942,16.3782,88930.0,11.395605,407724.0,12.918346,survey_1pct,5737.7,26034.087083188184,22.03918263646428
1,北京,2016,28438.7,10.255506,,156842598.72,19.26,86.76,18132.0,2129.0,11.7417,,791.5,1046.74,,7943.89,8.980158,,18649.0,9.833548,65.5761,4452.97,8.401327,15.6581,104643.0,11.55831,414296.0,12.934336,survey_1permil,6406.77,28438.695091332884,22.528354340535685
1,北京,2017,31325.9,10.352201,,175978315.82,19.01,86.93,17801.0,2225.0,12.4993,,812.9,1141.38,,8370.44,9.032462,,21943.71,9.996236,70.0497,4676.68,8.450344,14.9291,99167.0,11.504561,423939.0,12.957345,survey_1permil,6824.53,31325.91533725742,21.785572509299538
1,北京,2018,35161.4,10.467704,,198955468.79,18.63,87.09,17673.0,1989.0,11.2545,,819.3,1202.42,,,,-15.5,27185.54,10.21044,77.3164,4988.83,8.514957,14.1884,117664.0,11.675588,,,survey_1permil,7471.43,35161.39405837893,21.248958410451774
1,北京,2019,37767.0,10.539191,,226611064.44,16.2,87.35,16666.0,1909.0,11.4545,,791.3,1187.47,,,,-3.2,28689.71,10.264294,75.965,4822.98,8.481147,12.7704,129930.0,11.774751,,,survey_1permil,7408.19,37767.00058786722,19.615510590427736
1,北京,2020,38503.6,10.558507,,175870.98,15.8,87.55,21893095.0,2911782.0,13.3,1164.0,739.9,,63.5653,,,3.4,23313.0,10.056766,60.5476,4643.87,8.443303,12.0609,145035.0,11.88473,,,census,7116.18,38503.59913759938,18.48185665596891
1,北京,2021,44350.7,10.699884,,191290489.54,18.05,87.5,23185.0,3300.0,14.2333,1158.0,759.5,,65.5872,,,11.2,30438.4,10.32346,68.6312,5164.64,8.549591,11.645,167608.0,12.029383,,,survey_1permil,7205.12,44350.71014951744,16.245782707220968
1,北京,2022,45222.4,10.719348,,202138387.27,15.9,87.57,22372.0,3382.0,15.1171,1132.0,747.1,,65.9982,,,-7.1,36420.1,10.502876,80.5355,4867.07,8.490247,10.7625,189198.0,12.150549,,,survey_1permil,7469.15,45222.40821760198,16.51647998058797
1,北京,2023,47353.7,10.7654,,205724650.27,14.9,87.83,23018.0,3650.0,15.8572,1129.0,755.6,,66.9265,,,4.0,36448.5,10.503656,76.9708,5357.09,8.586176,11.3129,205179.0,12.231638,,,survey_1permil,7971.25,47353.68877429491,16.833429889683796
1,北京,2024,49670.2,10.81316,105.2,221051179.35,14.5,88.22,22470.0,3703.0,16.4798,1118.0,763.6,,68.3005,,,-4.7,36078.83,10.493462,72.6368,5473.16,8.607611,11.019,210052.0,12.25511,,,survey_1permil,8396.49,49670.17840992406,16.904489310878716
2,天津,2005,,,114.7,,55.5,75.11,138060.0,13377.0,9.6893,426.88,,114.17,,1495.14,7.309975,,4364.28,8.381209,,331.85,5.804683,,4470.0,8.405144,247879.0,12.420696,survey_1pct,442.12,,
2,天津,2006,3592.5,8.186604,114.6,37059005.57,57.1,75.73,9694.0,1023.0,10.5529,562.92,,122.8,,1820.52,7.506877,,7124.59,8.871307,198.3184,417.05,6.033206,11.6089,4981.0,8.513386,247307.0,12.418386,survey_1permil,543.12,3592.5013725034664,15.118157063403487
2,天津,2007,4229.8,8.34991,114.85,42742522.23,57.3,76.31,9896.0,1074.0,10.8529,432.74,,135.3,,2353.15,7.76351,,5433.04,8.600254,128.4467,438.36,6.08304,10.3636,5364.0,8.587465,247584.0,12.419505,survey_1permil,674.33,4229.80004399563,15.942361175139668
2,天津,2008,5278.3,8.571359,115.85,52188056.16,60.1,77.23,10114.0,1242.0,12.28,503.14,200.6,129.32,39.8696,3389.79,8.128523,,5583.92,8.627646,105.7901,546.26,6.303095,10.3492,6281.0,8.745284,249716.0,12.42808,survey_1permil,867.72,5278.298125359479,16.439389731153238
2,天津,2009,5828.6,8.670532,116.5,55653585.41,53.0,78.01,10473.0,1156.0,11.0379,507.26,201.7,127.31,39.7626,4738.2,8.463413,,4360.31,8.380298,74.8089,614.27,6.420435,10.5389,6367.0,8.758884,250599.0,12.431609,survey_1permil,1124.28,5828.599339702949,19.289025278194853
2,天津,2010,6991.6,8.852465,116.95,54038.33,52.5,79.55,12938224.0,1252420.0,9.68,520.78,205.7,140.61,39.4984,6278.09,8.744821,,5557.76,8.62295,79.492,776.65,6.65499,11.1083,7347.0,8.902047,239596.0,12.386709,census,1376.84,6991.602045316454,19.692768425261274
2,天津,2011,8240.8,9.016853,116.9,71182517.06,52.4,80.43,11577.0,1131.0,9.7694,,268.2,145.35,,7067.67,8.863286,,6676.86,8.806403,81.022,1004.51,6.912255,12.1895,10623.0,9.270777,254234.0,12.44601,survey_1permil,1796.33,8240.80242634335,21.797998630056664
2,天津,2012,9193.0,9.126198,115.1,77966245.44,51.68,81.55,11791.0,1233.0,10.4571,,289.1,148.06,,7934.78,8.979011,,7299.41,8.895549,79.4018,1105.56,7.008107,12.0261,13587.0,9.516869,256523.0,12.454974,survey_1permil,2143.21,9193.003641681229,23.3134901663984
2,天津,2013,10075.2,9.217832,113.15,82923456.79,50.6,82.29,12150.0,1392.0,11.4568,,302.4,152.29,,9130.25,9.119348,,7958.37,8.981979,78.9897,1310.66,7.178286,13.0088,21946.0,9.99634,262002.0,12.476107,survey_1permil,2549.21,10075.197604777866,25.301836251738745
2,天津,2014,10749.2,9.282587,111.25,85876807.54,49.2,82.55,12517.0,1462.0,11.6801,,295.5,163.7,,10518.2,9.260862,,8224.35,9.014855,76.5113,1486.88,7.304435,13.8325,23391.0,10.060107,262166.0,12.476733,survey_1permil,2884.7,10749.204168734523,26.836405325619637
2,天津,2015,10889.2,9.295527,110.0,4549108.08,46.58,82.88,239370.0,24641.0,10.2941,,294.8,184.12,,11831.99,9.378562,,,,,1578.07,7.363958,14.4921,28510.0,10.25801,257232.0,12.457734,survey_1pct,3232.35,10889.202707742503,29.6839914432093
2,天津,2016,11487.0,9.348971,109.3,88049977.0,42.33,83.27,13046.0,1482.0,11.3598,,286.0,209.65,,12779.39,9.455589,,6776.31,8.821188,58.9911,1624.22,7.392783,14.1396,38153.0,10.54936,259624.0,12.46699,survey_1permil,3699.43,11486.997241450079,32.2053703177611
2,天津,2017,12468.2,9.430937,109.1,97575520.43,40.94,83.57,12778.0,1442.0,11.285,,269.5,237.42,,11288.92,9.331577,,7645.12,8.941823,61.317,1611.96,7.385206,12.9286,25652.0,10.152377,259727.0,12.467386,survey_1permil,3282.54,12468.203967086401,26.327288265938364
2,天津,2018,13411.1,9.503838,103.64,104823354.7,40.46,83.95,12794.0,1397.0,10.9192,,260.0,205.48,,,,-9.8,8080.18,8.997169,60.2499,1624.89,7.393195,12.116,26661.0,10.190957,,,survey_1permil,3103.16,13411.099983254284,23.138743308712545
2,天津,2019,14097.2,9.553731,103.6,116553947.91,35.2,84.31,12095.0,1461.0,12.0794,,269.4,226.47,,,,13.4,7346.07,8.901921,52.1101,1634.35,7.399,11.5934,24574.0,10.109444,,,survey_1permil,3555.71,14097.193302618578,25.22282218645268
2,天津,2020,14230.8,9.563164,104.8,102630.83,34.1,84.7,13866009.0,2045236.0,14.75,647.0,255.3,,39.459,,,-5.1,7367.9,8.904888,51.7743,1500.14,7.313314,10.5415,22057.0,10.001385,,,census,3151.35,14230.801298436048,22.14457172096367
2,天津,2021,16093.2,9.686152,101.5,110674644.11,37.3,84.88,14541.0,2315.0,15.9205,641.0,256.4,,40.0,,,3.2,8567.4,9.05572,53.2361,1621.89,7.391347,10.0781,21370.0,9.969743,,,survey_1permil,3152.55,16093.198366461509,19.589331643173967
2,天津,2022,16588.5,9.716465,106.6,118837309.26,37.0,85.11,13959.0,2374.0,17.0069,621.0,243.3,,39.1787,,,-22.1,8302.3,9.024288,50.0485,1346.94,7.205591,8.1197,21466.0,9.974226,,,survey_1permil,2729.83,16588.50061073011,16.456158781669732
2,天津,2023,17211.8,9.75335,101.0,119842640.3,35.7,85.49,14362.0,2572.0,17.9084,635.0,219.0,,34.4882,,,3.3,8008.6,8.988271,46.5297,1579.13,7.364629,9.1747,24263.0,10.096708,,,survey_1permil,3280.42,17211.791840045196,19.059142885796057
2,天津,2024,17931.3,9.794303,104.7,127743107.5,34.5,86.01,14037.0,2606.0,18.5652,634.0,226.0,,35.6467,,,1.1,8132.86,9.003668,45.3557,1621.25,7.390953,9.0415,27037.0,10.204962,,,survey_1permil,3627.18,17931.2987779136,20.228205691757715
3,河北,2005,,,113.4,,51.8,37.69,906856.0,74117.0,8.173,3467.27,,511.67,,4139.69,8.328376,,1316.44,7.182686,,515.7,6.245525,,1273.0,7.149132,994818.0,13.810315,survey_1pct,979.16,,
3,河北,2006,10178.1,9.227994,113.4,15984452.3,52.4,38.77,63675.0,5405.0,8.4884,3609.99,,532.21,,5470.24,8.607078,,2791.91,7.934481,27.4306,620.53,6.430574,6.0967,1597.0,7.375882,1004491.0,13.819992,survey_1permil,1180.36,10178.103743368465,11.597052159829502
3,河北,2007,12317.6,9.418784,113.1,19397489.8,52.8,40.25,63501.0,5626.0,8.8597,3567.18,,535.34,,6884.68,8.837054,,1940.8,7.570856,15.7563,618.3,6.426974,5.0196,2094.0,7.646831,1004636.0,13.820136,survey_1permil,1506.65,12317.594913870518,12.231689794437074
3,河北,2008,14403.8,9.575247,111.45,22870071.93,54.2,41.9,62981.0,5504.0,8.7391,3651.66,501.0,557.91,13.7198,8866.56,9.090042,,2668.34,7.889212,18.5253,748.89,6.618592,5.1993,2380.0,7.774856,1026897.0,13.842052,survey_1permil,1881.67,14403.79510788796,13.063709848035396
3,河北,2009,15540.3,9.651192,110.05,24967144.9,52.0,43.74,62243.0,5512.0,8.8556,3899.73,503.1,754.95,12.9009,12269.8,9.414896,,2023.84,7.612752,13.0232,839.33,6.732604,5.401,2811.0,7.941296,1039693.0,13.854436,survey_1permil,2347.59,15540.301107174868,15.106464049889814
3,河北,2010,18254.1,9.812145,111.1,25404.36,52.5,44.5,71854202.0,6193832.0,8.62,3790.19,519.6,542.49,13.7091,15083.35,9.621347,,2847.28,7.954119,15.598,1074.04,6.979183,5.8838,3270.0,8.092545,1015463.0,13.830855,census,2820.24,18254.100158570447,15.44989879260564
3,河北,2011,21711.7,9.985607,111.75,35097557.43,53.5,45.59,61861.0,5053.0,8.1683,,555.4,626.17,,16389.33,9.704386,,3461.97,8.149593,15.9452,1348.51,7.206756,6.211,4651.0,8.444838,1031070.0,13.846108,survey_1permil,3537.39,21711.709450339273,16.292544850468804
