province_id,year,gdp_bn,labor,capital
1,2008,12167.601,1011.8199,17233.08
2,2008,5278.2983,329.92001,15313.41
3,2008,14403.795,1058.9099,40054.77
4,2008,7295.7993,634.45001,15952.049
5,2008,6352.4004,452.98999,24735.219
6,2008,12302.995,1114.72,45261.25
7,2008,4905.4004,477.96002,22763.369
8,2008,7215.0977,787.77002,16515.881
9,2008,14877.094,927.51001,21788.627
10,2008,31445.715,2339.45,69120.383
11,2008,21607.895,1895.3,42116.742
12,2008,9691.2041,787.96997,30479.457
13,2008,11104.203,819.10999,23525.746
14,2008,7028.6997,689.51001,21437.527
15,2008,27460.201,1812.01,69731.961
16,2008,17541.908,1225,47391.566
17,2008,11707.805,953.95996,25510.422
18,2008,11466.603,893.69,25000.08
19,2008,37351.488,2468.21,49099.32
20,2008,6561.897,633.88,16969.619
21,2008,1502.0002,145.92999,3186.7417
22,2008,5978.7988,513.63,17977.836
23,2008,12941.403,1218.26,32199.951
24,2008,3551.3,356.10001,8422.6709
25,2008,6120.5977,660.07001,15521.847
26,2008,405.2001,49.790001,1400.0215
27,2008,7256.7983,660.70996,20845.688
28,2008,3112.5015,328.75,7737.5005
29,2008,909.19989,101.65,2634.7922
30,2008,1153.6995,114.61,3744.3379
31,2008,4183.8994,409.04999,10209.437
1,2009,13335.701,1097.7,20195.625
2,2009,5828.5991,329.01001,18581.523
3,2009,15540.301,1258.05,48479.313
4,2009,7231.1982,636.09998,19363.813
5,2009,7226.998,480.06,29697.428
6,2009,13003.203,1213.22,53208.66
7,2009,5515.2983,511.33997,26989.686
8,2009,7315.8022,800.85999,19959.186
9,2009,16181.404,974.46997,24740.668
10,2009,35074.617,2497.8201,81434.695
11,2009,23227.496,2041.88,48815.855
12,2009,11063.305,820.32996,36544.16
13,2009,12625.098,917.69,27498.475
14,2009,7732.9985,735.32001,26022.664
15,2009,29957.201,1962.04,82072.219
16,2009,19077.102,1350.5701,56546.477
17,2009,13422.599,1064.58,30928.311
18,2009,12965.898,950.76001,30303.453
19,2009,40215.711,2608.3301,57738.938
