数据库：分省年度数据
指标：人口数(人口抽样调查)(人)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,,22470,23018,22372,23185,,16666,17673,17801,18132,335775,17757,17454,17266,17246,,15096,14813,14554,14294
天津市,,14037,14362,13959,14541,,12095,12794,12778,13046,239370,12517,12150,11791,11577,,10473,10114,9896,9694
河北省,,75943,77846,76002,78885,,59087,61907,62086,62750,1155542,60936,60517,60806,61861,,62243,62981,63501,63675
山西省,,35463,36496,35655,36863,,29012,30481,30550,30910,569491,30107,29957,30128,30698,,30378,30779,31069,31182
内蒙古自治区,,24578,25229,24595,25418,,19744,20781,20849,21136,390222,20671,20613,20775,21203,,21499,21816,22066,22180
辽宁省,,42763,44035,42990,44797,,33800,35744,35969,36668,680859,36236,36231,36621,37447,,38429,38988,39317,39231
吉林省,,23845,24629,24045,25158,,20939,22173,22424,22945,428511,22715,22707,22949,23490,,24349,24764,25067,25243
黑龙江省,,31174,32242,31744,33098,,29177,30946,31251,31874,592705,31632,31651,31990,32757,,34065,34688,35193,35504
上海市,,25520,26187,25347,26365,,18785,19877,19826,20188,373956,20019,19932,19862,20056,,16814,16854,16708,16525
江苏省,,87756,89776,87223,90085,,62652,65996,66100,66998,1238192,65692,65526,66083,67485,,68371,69168,69503,69474
浙江省,,68651,69780,67369,69273,,45420,47034,46573,46831,859773,45456,45376,45700,46674,,45472,45900,45844,45523
安徽省,,63020,64452,62763,64744,,49562,51812,51658,52056,955845,50201,49765,49963,50989,,54638,55498,56247,56880
福建省,,43162,44046,42900,44352,,30869,32309,32221,32474,596224,31409,31148,31273,31783,,32097,32484,32754,32855
江西省,,46339,47541,46380,47847,,36318,38080,38163,38576,710552,37486,37321,37580,38348,,39186,39623,39945,40069
山东省,,103752,106592,104093,107712,,78318,82408,82502,83464,1530763,80788,80331,80810,82336,,83867,84970,85696,85953
河南省,,100717,103349,101113,104679,,75087,78679,79005,80140,1476154,77873,77688,78483,80208,,83974,84906,86460,87180
湖北省,,60048,61472,59860,61748,,46101,48498,48684,49384,909271,47997,47860,48219,49190,,50862,51697,52408,53070
湖南省,,67303,69159,67649,70141,,53851,56516,56647,57310,1056139,55600,55219,55394,56351,,56820,57648,58382,58795
广东省,,131542,133790,129642,134340,,89429,93024,91922,92107,1681666,88503,87847,88395,89750,,84981,85714,85649,85451
广西壮族自治区,,51594,52933,51699,53347,,38653,40353,40385,40677,747093,39232,38947,39066,39686,,42891,43252,43442,43311
海南省,,10785,10982,10515,10800,,7350,7658,7640,7698,141596,7456,7389,7397,7496,,7606,7665,7696,7696
重庆市,,32828,33600,32914,34019,,24274,25416,25337,25560,468563,24687,24512,24573,24939,,25284,25545,25850,26005
四川省,,86091,88112,85772,88670,,65230,68344,68609,69457,1277289,67179,66904,67386,68777,,72471,73722,75201,76324
贵州省,,39732,40697,39500,40798,,28245,29487,29612,29915,550172,28950,28905,29071,29636,,33780,34126,34587,34666
云南省,,47918,49205,48066,49677,,37874,39584,39709,40141,738612,38902,38680,38874,39564,,40460,40947,41269,41359
西藏自治区,,3812,3843,3730,3873,,2743,2817,2797,2789,50634,2620,2575,2567,2591,,2556,2576,2587,2574
陕西省,,40691,41613,40518,41876,,30158,31684,31649,32014,589346,31155,31063,31315,31976,,33504,33999,34383,34574
甘肃省,,25300,25956,25529,26368,,20642,21614,21720,21960,404863,21381,21311,21507,21908,,23405,23739,23990,24109
青海省,,6108,6255,6094,6289,,4733,4945,4939,4987,91611,4814,4769,4782,4854,,4934,5007,5045,5049
宁夏回族自治区,,7499,7676,7460,7678,,5404,5638,5627,5666,103820,5460,5399,5400,5463,,5504,5533,5560,5539
新疆维吾尔自治区,,26995,27356,26497,27427,,19660,20375,20210,20165,367631,18969,18688,18630,18871,,18979,19004,18872,18681
注：1.2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
　　　2.由于采用加权汇总的方法，全国人口抽样调查样本数据合计与各分项或分组相加略有误差。
数据来源：国家统计局
