数据库：分省年度数据
指标：65岁及以上人口数(人口抽样调查)(人)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,,3703,3650,3382,3300,,1909,1989,2225,2129,35775,1518,1498,1485,1521,,1524,1524,1484,1605
天津市,,2606,2572,2374,2315,,1461,1397,1442,1482,24641,1462,1392,1233,1131,,1156,1242,1074,1023
河北省,,12498,12640,11885,11769,,7767,7854,7326,6845,117567,5682,5547,5529,5053,,5512,5504,5626,5405
山西省,,5598,5549,5163,5043,,3190,3147,2746,2688,52324,2566,2388,2400,2384,,2457,2424,2268,2178
内蒙古自治区,,3942,3899,3613,3518,,2013,2047,2260,1995,37288,1929,1762,1636,1461,,1818,1769,1802,1728
辽宁省,,9366,9273,8605,8424,,5382,5353,5063,4849,87595,4407,3701,3639,4034,,4419,4419,4181,4155
吉林省,,4629,4594,4269,4205,,2783,2743,2735,2490,46769,2310,2193,1776,2044,,2164,2260,2208,2084
黑龙江省,,6051,6065,5657,5553,,4020,3780,3793,3805,64239,2971,2830,2827,2618,,2951,3163,3147,2864
上海市,,5169,5123,4732,4600,,3055,2972,2827,2617,47936,1938,2121,1790,1579,,2368,2198,2381,2382
江苏省,,16478,16569,15586,15354,,9447,9435,9210,9048,157135,7925,8030,7597,7300,,8225,8118,7751,7683
浙江省,,10789,10756,10046,9815,,6374,6108,5812,5449,96855,4374,4174,3998,3999,,5035,4889,4874,4569
安徽省,,9885,10228,9912,9997,,6923,6840,6713,5969,106895,5231,5241,5155,5342,,5545,5963,5908,5807
福建省,,5591,5561,5231,5117,,3086,3065,3069,3231,53694,2383,2543,2687,2438,,3220,3247,3301,3073
江西省,,6435,6411,6044,5936,,3686,3707,3723,3702,64388,3464,3360,3040,2923,,3165,3322,3574,3403
山东省,,18400,18577,17407,17152,,12402,12495,10672,9725,178471,9267,8822,8496,8854,,8171,8285,8350,8211
河南省,,15144,15389,14712,14644,,8711,8698,8567,8075,145415,6821,6935,6923,7057,,7460,6643,6546,7027
湖北省,,10385,10418,9753,9524,,6026,6059,5955,5716,102146,4922,4741,5189,4974,,5175,5237,5179,5197
湖南省,,11228,11386,10904,10849,,7078,7057,6895,6814,118534,6045,5837,6152,5906,,6351,6059,6031,6206
广东省,,13399,13330,12440,12252,,7672,7687,7121,7086,123964,7322,6364,6172,5884,,6356,6477,6305,6073
广西壮族自治区,,7208,7310,6790,6716,,3930,4046,3936,3943,72940,3741,3620,3644,3786,,3993,4045,3991,3892
海南省,,1278,1284,1187,1168,,685,629,626,635,11954,571,602,538,516,,667,686,682,666
重庆市,,6194,6353,6024,6041,,3725,3678,3618,3570,62282,3487,3247,3171,3097,,2927,3055,3020,2977
四川省,,15878,16268,15546,15590,,10266,10244,9557,9513,165273,9398,8536,7961,8277,,8838,8440,8261,8625
贵州省,,5127,5216,4789,4799,,3271,3344,2946,2879,52149,2670,2682,2662,2698,,2794,2778,2870,2794
云南省,,5783,5880,5608,5601,,3743,3790,3336,3362,62088,3393,3099,3015,3041,,3478,3225,3074,3112
西藏自治区,,240,234,220,225,,165,160,162,139,2890,144,133,139,125,,179,172,172,165
陕西省,,6381,6338,5948,5861,,3633,3536,3512,3439,60994,3306,3053,2905,2715,,3315,3260,3313,3086
甘肃省,,3449,3542,3429,3439,,2377,2446,2243,2186,37912,1910,1895,1987,1951,,1952,1939,1877,1782
青海省,,646,654,623,622,,404,375,390,360,6502,342,341,335,288,,345,343,329,352
宁夏回族自治区,,798,806,778,772,,514,507,476,441,7643,370,382,358,299,,374,358,347,330
新疆维吾尔自治区,,2393,2376,2223,2217,,1586,1458,1472,1458,26207,1303,1190,1266,1247,,1264,1366,1285,1242
注：2005年、2015年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。具体抽样比详见出版物中《中国统计年鉴》。
数据来源：国家统计局
