数据库：分省年度数据
指标：城镇单位就业人员(万人)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,,763.6,755.6,747.1,759.5,739.9,791.3,819.3,812.9,791.5,777.3,755.9,742.3,717.4,685.9,646.6,619.3,570.3,,
天津市,,226.0,219.0,243.3,256.4,255.3,269.4,260.0,269.5,286.0,294.8,295.5,302.4,289.1,268.2,205.7,201.7,200.6,,
河北省,,567.9,554.7,561.1,566.0,561.2,576.0,550.3,535.3,639.6,643.6,656.2,653.4,619.9,555.4,519.6,503.1,501.0,,
山西省,,443.6,434.8,438.3,442.9,442.6,441.1,425.8,428.7,430.6,440.3,452.1,464.0,436.0,409.7,394.4,385.8,375.2,,
内蒙古自治区,,284.3,268.7,265.5,267.7,270.6,280.9,272.4,280.6,293.2,298.3,301.5,303.8,270.8,262.4,249.2,245.8,244.8,,
辽宁省,,436.5,424.5,443.7,458.0,476.8,499.9,501.6,519.5,560.4,618.4,665.2,689.1,598.7,579.6,518.1,509.5,510.8,,
吉林省,,240.6,233.9,242.3,254.7,257.8,277.3,279.3,307.1,322.1,325.1,334.4,338.4,285.5,277.9,267.6,265.3,262.0,,
黑龙江省,,292.2,274.6,297.9,311.2,316.4,349.6,392.7,413.0,424.9,433.5,450.9,467.8,471.0,466.2,460.0,469.1,475.1,,
上海市,,676.7,647.6,672.3,683.1,645.6,716.1,640.7,632.3,627.8,637.2,648.9,618.8,555.7,497.3,392.9,385.4,377.2,,
江苏省,,1246.3,1311.4,1283.0,1314.0,1342.5,1332.3,1472.6,1484.6,1497.3,1552.1,1602.4,1503.3,830.9,811.3,763.8,721.3,707.6,,
浙江省,,1112.1,1064.8,1041.4,1034.6,1025.8,987.3,1013.5,1054.5,1060.9,1083.4,1102.7,1071.6,1070.1,995.7,883.6,813.9,741.2,,
安徽省,,627.4,591.3,576.8,563.2,565.6,581.0,592.3,516.2,517.1,513.8,521.7,519.7,436.8,411.6,372.9,359.9,343.7,,
福建省,,530.6,548.6,559.2,579.0,605.9,639.6,705.4,672.5,668.8,663.1,654.6,644.0,637.9,596.3,507.1,474.0,458.7,,
江西省,,410.8,419.4,436.9,448.0,451.5,451.7,435.7,463.5,471.5,480.5,465.3,445.0,385.8,344.4,297.4,289.6,289.2,,
山东省,,1099.4,1077.0,1081.5,1108.3,1098.3,1072.0,1129.0,1192.9,1215.5,1236.7,1266.3,1290.6,1110.2,1050.4,956.2,922.3,901.4,,
河南省,,796.9,786.9,873.9,915.4,964.9,968.0,967.3,1129.3,1145.0,1125.9,1108.9,1076.0,881.2,839.1,751.7,734.7,714.4,,
湖北省,,610.7,626.0,639.8,643.6,631.2,653.8,653.3,695.0,719.3,712.3,706.8,696.5,598.0,586.1,510.3,487.1,470.3,,
湖南省,,567.8,585.3,589.9,606.0,604.9,596.7,546.3,565.7,568.4,579.1,597.9,601.0,567.5,551.4,505.7,481.0,454.7,,
广东省,,2049.4,1990.0,2066.6,2110.9,2085.3,2064.6,1994.1,1963.1,1957.6,1948.0,1973.3,1967.0,1304.0,1238.2,1118.5,1055.0,1007.9,,
广西壮族自治区,,387.1,390.8,395.8,410.3,410.4,404.1,386.8,398.0,401.4,405.4,401.5,403.0,358.0,341.6,316.7,301.4,292.8,,
海南省,,105.8,102.1,109.2,113.7,108.5,102.2,99.6,100.9,101.2,100.4,101.5,98.8,90.1,85.1,81.3,79.3,76.8,,
重庆市,,331.3,337.4,345.2,358.1,370.8,374.4,391.2,406.4,412.9,415.6,414.5,402.0,353.2,337.2,266.4,248.8,241.7,,
四川省,,821.2,883.6,881.4,871.5,861.8,788.9,780.6,792.2,787.5,795.5,808.7,846.2,640.9,614.0,570.6,564.4,550.9,,
贵州省,,319.3,310.8,327.3,336.7,335.3,321.1,308.5,315.2,310.5,307.5,304.7,296.7,269.5,241.0,224.3,218.7,211.0,,
云南省,,334.1,345.0,355.3,358.1,358.2,367.5,427.0,422.4,419.0,414.7,419.6,428.1,392.7,350.1,322.8,312.0,303.5,,
西藏自治区,,47.3,40.8,42.6,44.5,41.7,44.8,36.9,33.3,31.5,33.4,32.5,31.0,25.2,23.3,22.2,21.1,20.3,,
陕西省,,476.0,456.4,471.6,476.0,489.6,501.3,493.2,510.4,511.4,511.8,516.5,505.3,411.2,393.7,364.8,352.4,344.4,,
甘肃省,,239.4,234.1,257.5,261.3,262.2,253.0,246.7,259.2,261.0,261.8,264.7,256.6,211.3,199.3,194.3,193.0,192.5,,
青海省,,69.5,65.9,65.8,67.1,66.4,67.0,62.7,63.3,63.1,62.7,63.2,64.2,61.7,60.6,52.6,50.6,47.0,,
宁夏回族自治区,,79.2,74.2,71.2,70.7,69.1,70.0,68.0,71.1,70.7,73.1,73.2,72.2,67.4,60.9,59.3,58.1,57.1,,
新疆维吾尔自治区,,318.0,313.4,317.1,324.2,323.0,318.8,305.2,335.0,320.5,317.2,316.6,309.5,288.8,279.4,255.0,249.4,248.2,,
注：1.全国就业人员1990年及以后的数据根据劳动力调查、人口普查推算，2001年及以后数据根据第六次人口普查数据重新修订。
　　　2.城镇单位数据不含私营单位。
　　　3.2012年行业采用新的分类标准，与前期不可比。
数据来源：国家统计局
