数据库：分省年度数据
指标：公有经济企事业单位专业技术人员数(人)
时间：最近20年
地区,2025年,2024年,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年
北京市,,,,,,,,,,,,,,,364568,341509,352533,348675,340120,338690
天津市,,,,,,,,,,,,,,,254234,239596,250599,249716,247584,247307
河北省,,,,,,,,,,,,,,,1031070,1015463,1039693,1026897,1004636,1004491
山西省,,,,,,,,,,,,,,,738002,733186,728478,717848,687679,675520
内蒙古自治区,,,,,,,,,,,,,,,495875,482413,493000,492673,486148,470959
辽宁省,,,,,,,,,,,,,,,672184,636743,607800,719044,715461,733177
吉林省,,,,,,,,,,,,,,,535262,533203,552889,561051,558105,549781
黑龙江省,,,,,,,,,,,,,,,663207,676844,688326,691278,678135,659834
上海市,,,,,,,,,,,,,,,377379,356378,363787,360340,337699,331827
江苏省,,,,,,,,,,,,,,,1042342,998877,1038973,1050990,998178,997427
浙江省,,,,,,,,,,,,,,,761857,722367,733099,719551,688800,681522
安徽省,,,,,,,,,,,,,,,750273,735751,746743,740121,711492,708707
福建省,,,,,,,,,,,,,,,557730,535242,543331,542928,519534,513586
江西省,,,,,,,,,,,,,,,641455,625484,634501,627532,618036,613347
山东省,,,,,,,,,,,,,,,1582861,1527315,1567276,1491836,1494182,1494089
河南省,,,,,,,,,,,,,,,1187042,1024314,1273668,1265222,1263425,1252962
湖北省,,,,,,,,,,,,,,,760818,765798,794661,804196,804191,817456
湖南省,,,,,,,,,,,,,,,890040,847965,893594,897021,905426,908213
广东省,,,,,,,,,,,,,,,1304048,1249395,1300813,1265386,1234792,1212040
广西壮族自治区,,,,,,,,,,,,,,,752309,733726,754256,756850,745589,731406
海南省,,,,,,,,,,,,,,,128446,127236,126203,130622,124419,122935
重庆市,,,,,,,,,,,,,,,391349,382770,384339,385292,373697,371332
四川省,,,,,,,,,,,,,,,1016124,991047,1012281,1014272,999505,996897
贵州省,,,,,,,,,,,,,,,533075,518088,535297,533160,525180,521801
云南省,,,,,,,,,,,,,,,739324,697176,688529,681574,659890,650316
西藏自治区,,,,,,,,,,,,,,,52873,50124,49430,46153,42402,39433
陕西省,,,,,,,,,,,,,,,651633,640644,647370,640119,619805,612716
甘肃省,,,,,,,,,,,,,,,482569,465321,459603,449293,433827,423000
青海省,,,,,,,,,,,,,,,109641,106063,104505,103258,102388,101162
宁夏回族自治区,,,,,,,,,,,,,,,111942,108376,111153,112598,117468,121378
新疆维吾尔自治区,,,,,,,,,,,,,,,421372,407651,411628,413844,411099,412214
注：1.2008年及以前公有经济企事业单位统计口径为“国有企事业单位”，不包含集体单位。
　　　2.1991年起，专业技术人员包括社会科学领域人员及小学教师，但不包括行政机关人员。
数据来源：国家统计局
